Question,Answer
What is discussed in Section 30?,Sentence of imprisonment in default of fine.
What does Section 31 relate to?,Sentence in cases of conviction of several offences at one trial.
What is covered in Section 32?,Mode of conferring powers.
What does Section 33 mention?,Powers of officers appointed.
What does Section 34 describe?,Withdrawal of powers.
What is discussed in Section 35?,Powers of Judges and Magistrates exercisable by their successors-in-office.
What is the content of Section 36?,Powers of superior officers of police.
What does Section 37 state?,Public when to assist Magistrates and police.
What is Section 38 about?,"Aid to person, other than police officer, executing warrant."
What is the focus of Section 39?,Public to give information of certain offences.
What does Section 40 require?,Officers employed in village affairs must report certain matters.
What is the subject of Chapter V in CrPC?,Arrest of persons.
When may police arrest without a warrant according to Section 41?,When a person commits a cognizable offence in presence or is suspected to have committed such an offence.
What does Section 41A introduce?,Notice of appearance before police officer.
What is described in Section 41B?,Procedure of arrest and duties of officer making arrest.
What does Section 41C mandate?,Establishment of a control room at districts.
What right is provided under Section 41D?,Right of arrested person to meet an advocate of his choice during interrogation.
What happens under Section 42?,Arrest on refusal to give name and residence.
What is stated in Section 43?,Arrest by private person and procedure on such arrest.
What power does Section 44 grant to Magistrates?,Power to arrest.
What protection is provided under Section 45?,Protection of members of Armed Forces from arrest.
How is arrest made as per Section 46?,"By actual touching or confinement, unless the person submits to custody."
What is described in Section 47?,Search of place entered by person sought to be arrested.
What does Section 48 permit?,Pursuit of offenders into other jurisdictions.
What does Chapter VI of CrPC start with?,Processes to compel appearance.
What are the types of processes to compel appearance under CrPC?,"Summons, warrant of arrest, and proclamation and attachment."
What is the purpose of a summons in criminal procedure?,To legally require a person to appear before a court.
What is a warrant of arrest?,A written order issued by a magistrate directing the arrest of a person.
What does proclamation mean in the context of arrest?,Public declaration that a person is absconding and must appear.
What is attachment in relation to absconding persons?,Seizure of property to compel appearance.
Under what circumstances can the court issue a warrant instead of a summons?,When the court believes the person will not respond to a summons or has failed to appear.
What is covered under Section 90?,"Court's power to issue warrant in lieu of, or in addition to, summons."
What is the purpose of Section 91?,To summon documents or other items necessary for the case.
What is the heading of Chapter VI in the CrPC?,Processes to compel appearance.
What are the main forms of process to compel appearance?,"Summons, warrant of arrest, and proclamation and attachment."
When can a Court issue a warrant in lieu of summons?,When the Court believes the person will not obey a summons.
What is described in Section 91 of the CrPC?,Power to call for documents or other items necessary for the case.
What is proclamation in legal terms?,A public declaration requiring the appearance of a person absconding.
What is attachment in criminal procedure?,Seizure of property to compel the appearance of an absconding person.
What is the purpose of these processes under Chapter VI?,To ensure the presence of persons required by the court in legal proceedings.
What is the purpose of Chapter VII in CrPC?,To compel the production of things.
What is Section 92 about?,When a search or seizure is made on postal or telegraph authority.
What is the aim of Chapter VIII of CrPC?,To maintain public order and security by taking bonds to keep the peace or for good behaviour.
What does Section 107 deal with?,Security for keeping the peace in other cases.
What does Section 108 focus on?,Security for good behaviour from persons disseminating seditious matters.
Who can be required to execute a bond under Chapter VIII?,Persons likely to disturb the public peace or spread harmful content.
What is the duration for which bonds may be taken under Chapter VIII?,"Usually up to one year, depending on the case and discretion of the Magistrate."
What is the content of Section 111 in CrPC?,Order to be made when Magistrate requires a person to show cause.
What does Section 112 describe?,Procedure in respect of person present in Court.
What happens when the person is not present in court under Chapter VIII?,A summons or warrant may be issued to secure presence as per Section 113.
What is the role of Section 114?,Summons or warrant to be accompanied by copy of order.
What does Section 115 specify?,Power to dispense with personal attendance.
What happens under Section 116?,Inquiry into the truth of information and taking evidence.
What is provided under Section 117?,Order to give security when information is substantiated.
What is mentioned in Section 118?,Discharge of the person if no grounds are found.
What does Section 119 mention?,Commencement of period for which security is required.
What does Section 120 discuss?,Contents of bond.
What happens in the case of breach of bond?,The person may be arrested and detained according to provisions in Section 122.
What does Section 211 specify?,Contents of charge.
What should a charge state according to Section 211(1)?,The offence with which the accused is charged.
What does Section 212 require in a charge?,"Particulars as to time, place, and person."
When must the manner of committing an offence be stated under Section 213?,When the particulars do not give sufficient notice of the offence.
What does Section 214 state?,Words in a charge should be taken in the sense of the law under which the offence is punishable.
What is the effect of errors in the charge according to Section 215?,Errors do not invalidate proceedings unless they cause a failure of justice.
Can the court alter a charge?,"Yes, under Section 216, the court may alter or add any charge at any time before judgment."
What must the court do if it alters a charge?,"As per Section 217, it must recall witnesses or allow further evidence if necessary."
What does Section 218 state about charging offences?,There should be a separate charge for each distinct offence.
"Under Section 219, how many offences of the same kind can be charged together?",Three offences committed within 12 months.
What is stated in Section 220?,Multiple offences committed in the same transaction may be charged together.
What does Section 221 cover?,"When it is doubtful which offence has been committed, the accused may be charged with all or any."
What does Section 222 describe?,A person can be convicted of a minor offence included in the major offence charged.
What does Section 223 explain?,"Persons may be charged and tried together under specific conditions, like joint commission of an offence."
What is Chapter XVIII of CrPC titled?,Trial before a Court of Session.
Who must conduct the prosecution in a trial before a Court of Session as per Section 225?,A Public Prosecutor.
What does Section 226 specify?,The prosecutor shall open the case and state the evidence proposed to prove the guilt of the accused.
What does Section 227 state about discharge?,"If the Judge finds insufficient grounds, he shall discharge the accused and record reasons."
What is covered in Section 228?,Framing of charge by the Judge if there is a presumption that the accused has committed an offence.
What are the two outcomes in Section 228(1)?,"(a) If not exclusively triable by the Sessions Court, the case is transferred to a Magistrate;
(b) If exclusively triable, the Judge frames and reads out the charge to the accused."
What does Section 229 of the CrPC describe?,Conviction on plea of guilty.
What happens when an accused pleads guilty under Section 229?,The Judge shall record the plea and may convict him.
What does Section 230 provide for?,Date for prosecution evidence when accused does not plead guilty.
What does Section 231 state?,Evidence for prosecution shall be taken and witnesses examined.
What does Section 232 specify?,Acquittal if no evidence is produced against the accused.
When is a defense presented under CrPC?,"As per Section 233, after the prosecution evidence is complete and the accused is not acquitted."
What does Section 234 deal with?,Arguments of prosecution and defense.
What is stated in Section 235?,Judgment of acquittal or conviction by the Judge.
What is the title of Chapter XIX in CrPC?,Trial of warrant-cases by Magistrates.
What does Section 238 provide for?,Compliance with Sections 207 and 208 before commencement of trial.
What is stated in Section 239?,Magistrate may discharge accused if groundless.
When is a charge framed in a warrant-case?,"As per Section 240, if the Magistrate believes there is ground for presuming the accused committed an offence."
What does Section 241 deal with?,Plea of guilty and conviction.
What happens under Section 242?,Evidence for prosecution is recorded after plea of not guilty.
What does Section 243 provide?,Evidence for defense is recorded.
What does Section 244 state?,Evidence for prosecution in cases instituted otherwise than on police report.
When may Magistrate discharge accused in non-police report cases?,"As per Section 245, when no case is made out against the accused."
What is the heading of Chapter XX in the CrPC?,Trial of summons-cases by Magistrates.
What is provided in Section 251?,Substance of accusation to be stated when accused appears.
What does Section 252 deal with?,Conviction on plea of guilty in summons-cases.
What does Section 253 specify?,Conviction on plea of guilty in absence of accused in petty cases.
What is mentioned in Section 254?,Procedure when not convicted.
What is stated in Section 255?,Magistrate may acquit or convict the accused.
What is provided in Section 256?,Non-appearance or death of complainant.
What is covered in Section 257?,Withdrawal of complaint.
What does Section 258 deal with?,Power to stop proceedings in certain cases.
What does Section 259 empower the court to do?,Convert summons-cases into warrant-cases.
What is the title of Chapter XXI of the CrPC?,Summary Trials.
What does Section 260 empower?,It empowers certain Magistrates to try offences summarily.
Who is allowed to try cases summarily as per Section 261?,A Magistrate of the second class specially empowered by the High Court.
What procedure is followed in summary trials under Section 262?,The procedure prescribed for summons-cases is followed.
What is required to be recorded during summary trials as per Section 263?,A memorandum of the substance of evidence and other specified details.
What does Section 264 provide?,It provides that the judgment shall contain a brief statement of reasons and findings.
What is specified in Section 265?,The language of record and judgment should be that of the Court.
What is Chapter XXIA of CrPC about?,Plea Bargaining.
What does Section 265A state?,It lays down the application of the chapter on plea bargaining.
What does Section 265B deal with?,Application for plea bargaining by the accused.
What are the guidelines mentioned in Section 265C?,Guidelines for mutually satisfactory disposition between prosecution and accused.
What is required under Section 265D?,Submission of the report of satisfactory disposition before the Court.
What does Section 265E deal with?,Disposal of the case by the Court after plea bargaining.
What is the focus of Section 265F?,Judgment of the Court under plea bargaining.
What does Section 265G specify?,Finality of the judgment passed under plea bargaining.
What power is granted under Section 265H?,Powers of the Court in plea bargaining.
What does Section 265-I clarify?,Period of detention undergone by the accused to be set off against the sentence.
What does Section 265J mention?,Savings clause to preserve earlier rights.
What is stated in Section 265K?,Statements made by the accused under plea bargaining shall not be used elsewhere.
What is defined in Section 265L?,Non-application of the plea bargaining chapter to certain offences.
What is Chapter XXII of the CrPC titled?,Attendance of Persons Confined or Detained in Prisons.
What does Section 266 define?,Definitions related to prisoners' attendance.
What is described in Section 267?,Power to require attendance of prisoners in court.
What is the purpose of Section 268?,Power of State Government to exclude certain prisoners from attendance orders.
What does Section 269 mention?,Conditions under which a prison officer may abstain from carrying out the courtâs order.
What is stated in Section 270?,Prisoner to be brought to Court in custody.
What power is granted under Section 271?,Issue of commission for examination of a witness in prison.
What is the title of Chapter XXIII of the CrPC?,Evidence in inquiries and trials.
What does Section 272 allow State Governments to determine?,"The language of each Court within the State, other than the High Court."
What does Section 273 require for the taking of evidence?,All evidence shall be taken in the presence of the accused or his pleader.
What exception does Section 273 provide regarding victims of sexual offences?,The Court may take measures to ensure such women are not confronted by the accused.
What does Section 274 deal with?,Record in summons-cases and inquiries.
What is recorded under Section 275?,Record in warrant-cases.
What is recorded under Section 276?,Record in trials before a Court of Session.
What does Section 277 concern?,Language of record of evidence.
What does Section 278 provide?,Procedure in regard to such evidence when completed.
What does Section 279 require?,Interpretation of evidence to accused or his pleader.
What does Section 280 permit?,Remarks by the Judge on the demeanour of a witness.
What does Section 281 refer to?,Record of examination of the accused.
What is stated in Section 282?,Interpreter to be bound to interpret truthfully.
What is dealt with in Section 283?,Record in High Court.
What is Part B of Chapter XXIII about?,Commissions for the examination of witnesses.
What is the subject of Section 284?,When attendance of witness may be dispensed with and commission issued.
What does Section 285 state?,Commission to whom it may be issued.
What does Section 286 describe?,Execution of commissions.
What does Section 287 allow?,Parties may examine witnesses through the commission.
What is the focus of Section 288?,Return of commission.
What is provided under Section 289?,Adjournment of proceeding.
What does Section 290 deal with?,Execution of foreign commissions.
What is Section 291 about?,Deposition of medical witness.
What does Section 291A introduce?,Identification report of Magistrate.
What does Section 292 provide?,Evidence of officers of the Mint.
What is the subject of Section 293?,Reports of certain Government scientific experts.
What is stated in Section 294?,No formal proof of certain documents is required if not disputed.
What does Section 295 mention?,Affidavit in proof of conduct of public servants.
What does Section 296 allow?,Evidence of formal character may be given by affidavit.
What does Section 297 cover?,Authorities before whom affidavits may be sworn.
What is described in Section 298?,Previous conviction or acquittal may be proved by certified extracts.
What is the content of Section 299?,Record of evidence in absence of accused under specific circumstances.
What is the heading of Chapter XXIV of the CrPC?,General provisions as to inquiries and trials.
What is the title of Chapter XXIV of the CrPC?,General Provisions as to Inquiries and Trials.
What does Section 300 protect an accused against?,Being tried again for the same offence after acquittal or conviction.
What does Section 301 state?,Public Prosecutor can appear and plead without written authority.
What is covered in Section 302?,Permission to conduct prosecution by any person other than the Public Prosecutor.
What does Section 303 guarantee to an accused person?,The right to be defended by a pleader of his choice.
What does Section 304 provide?,Legal aid to accused at State expense in certain cases.
What does Section 305 relate to?,Procedure when corporation or registered society is an accused.
What is described in Section 306?,Tender of pardon to accomplice.
What does Section 307 allow?,The Court to tender pardon after commitment but before judgment.
What does Section 308 prescribe?,Procedure when a person to whom pardon has been tendered is tried subsequently.
What does Section 309 deal with?,Power to postpone or adjourn proceedings.
What is the purpose of Section 310?,Local inspection by Judge or Magistrate.
What is the provision of Section 311?,Power to summon or recall material witnesses at any stage of inquiry or trial.
What does Section 311A empower a Magistrate to do?,Order specimen signatures or handwriting.
What is covered in Section 312?,Payment of reasonable expenses to complainants and witnesses.
What does Section 313 empower the Court to do?,Examine the accused to explain circumstances appearing in the evidence.
Are the accused bound to answer questions under Section 313?,"No, and no punishment shall be imposed for refusal or false answers."
Can the accused submit a written statement under Section 313?,"Yes, as sufficient compliance."
What does Section 314 deal with?,Oral arguments and memorandum of arguments.
What does Section 315 permit?,The accused to be a competent witness for the defence.
Under what condition can the accused be called as a witness?,Only on his own written request.
What does Section 316 of the CrPC address?,No influence to be used to induce disclosure.
What does Section 317 empower the Court to do?,To proceed against accused in his absence when necessary.
What does Section 318 provide for?,Procedure where accused does not understand proceedings.
What is described in Section 319?,Power to proceed against other persons appearing to be guilty of offence.
What does Section 320 cover?,Compounding of offences.
What does Section 321 empower the Public Prosecutor to do?,Withdraw from prosecution with Courtâs consent.
What does Section 322 deal with?,Procedure in cases which Magistrate cannot dispose of.
What does Section 323 of CrPC state?,Procedure when Magistrate finds case should be committed to higher Court.
What is covered in Section 324?,"Trial of persons previously convicted of coinage, stamp-law or property offences."
What does Section 325 provide?,Procedure when Magistrate cannot pass sufficiently severe sentence.
What does Section 326 relate to?,Conviction or commitment on partly recorded evidence.
What is required by Section 327?,Court proceedings must generally be open to the public.
What is the focus of Chapter XXV?,Provisions as to accused persons of unsound mind.
What does Section 328 deal with?,Procedure in case of accused being lunatic.
What is specified in Section 329?,Procedure when a person of unsound mind is tried before Court.
What does Section 330 provide for?,Release of person of unsound mind pending investigation or trial.
What is stated in Section 331?,Resumption of inquiry or trial when the person becomes fit.
What does Section 332 address?,Procedure when the accused appears before Court.
What is the provision under Section 333?,When accused appears to have been of sound mind.
What is described in Section 334?,Judgment of acquittal on ground of unsoundness of mind.
What is the purpose of Section 335?,To detain acquitted person in safe custody.
What does Section 336 empower the State Government to do?,Empower officer-in-charge to discharge a person of unsound mind.
What power does Section 311A grant to Magistrates?,"A Magistrate of the first class can order any person, including the accused, to give specimen signatures or handwriting."
What is covered under Section 312?,Payment of reasonable expenses to complainants and witnesses attending inquiries or trials.
What does Section 313 empower the Court to do?,Examine the accused to explain any circumstances appearing in the evidence against him.
Are accused persons bound to answer questions under Section 313?,"No, they cannot be punished for refusing to answer or for giving false answers."
Can accused persons submit written statements under Section 313?,"Yes, submitting a written statement is sufficient compliance."
What is provided under Section 314?,Parties may address oral arguments and submit written memoranda which form part of the case record.
What does Section 315 say about the accused as a witness?,The accused is a competent witness for the defence but can only be called on his own written request.
What does Section 316 of CrPC prohibit?,Use of influence to induce any person to disclose matters relevant to a proceeding.
What power does Section 317 give the Court?,To proceed against the accused in their absence when necessary.
What does Section 318 provide?,Procedure when the accused does not understand the proceedings.
What does Section 319 empower the Court to do?,Proceed against other persons appearing to be guilty of an offence related to the case.
What is the purpose of Section 320?,Allow compounding of certain offences with the consent of the parties.
What power does Section 321 grant the Public Prosecutor?,To withdraw from prosecution with the Court's consent.
What does Section 322 deal with?,Procedure in cases which the Magistrate cannot dispose of.
What does Section 323 describe?,Procedure when a Magistrate finds a case should be committed to a higher Court.
What is covered under Section 324?,"Trial of persons previously convicted of coinage, stamp-law, or property offences."
What does Section 325 provide?,Procedure when Magistrate cannot pass a sufficiently severe sentence.
What is discussed in Section 326?,Conviction or commitment on partly recorded evidence.
What does Section 327 require?,Court proceedings must generally be open to the public.
What does Section 316 of the CrPC address?,No influence to be used to induce disclosure.
What does Section 317 empower the Court to do?,To proceed against accused in his absence when necessary.
What does Section 318 provide for?,Procedure where accused does not understand proceedings.
What is described in Section 319?,Power to proceed against other persons appearing to be guilty of offence.
What does Section 320 cover?,Compounding of offences.
What does Section 321 empower the Public Prosecutor to do?,Withdraw from prosecution with Courtâs consent.
What does Section 322 deal with?,Procedure in cases which Magistrate cannot dispose of.
What does Section 323 of CrPC state?,Procedure when Magistrate finds case should be committed to higher Court.
What is covered in Section 324?,"Trial of persons previously convicted of coinage, stamp-law, or property offences."
What does Section 325 provide?,Procedure when Magistrate cannot pass sufficiently severe sentence.
What does Section 326 relate to?,Conviction or commitment on partly recorded evidence.
What is required by Section 327?,Court proceedings must generally be open to the public.
What is the focus of Chapter XXV?,Provisions as to accused persons of unsound mind.
What does Section 328 deal with?,Procedure in case of accused being lunatic.
What is specified in Section 329?,Procedure when a person of unsound mind is tried before Court.
What does Section 330 provide for?,Release of person of unsound mind pending investigation or trial.
What is stated in Section 331?,Resumption of inquiry or trial when the person becomes fit.
What does Section 332 address?,Procedure when the accused appears before Court.
What is the provision under Section 333?,When accused appears to have been of sound mind.
What is described in Section 334?,Judgment of acquittal on ground of unsoundness of mind.
What is the purpose of Section 335?,To detain acquitted person in safe custody.
What does Section 336 empower the State Government to do?,Empower officer-in-charge to discharge a person of unsound mind.
What is the Directorate of Prosecution as per Section 25A?,The State Government may establish a Directorate of Prosecution consisting of a Director and Deputy Directors of Prosecution to oversee prosecution in the state.
What qualifications must a person have to be appointed as Director or Deputy Director of Prosecution?,They must have practiced as an advocate for not less than ten years and be appointed with the concurrence of the Chief Justice of the High Court.
Who does the Director of Prosecution function under?,The administrative control of the Head of the Home Department in the State.
To whom are the Deputy Directors of Prosecution subordinate?,They are subordinate to the Director of Prosecution.
"Who are Public Prosecutors, Additional Public Prosecutors, and Assistant Public Prosecutors subordinate to?","Public Prosecutors in the High Court are subordinate to the Director of Prosecution, while those in District Courts and Assistant Public Prosecutors are subordinate to Deputy Directors."
What powers do superior police officers have under Section 36?,Police officers superior in rank to the officer in charge of a police station may exercise the same powers throughout the area they are appointed to as the officer within his station.
When is a person bound to assist a Magistrate or police officer under Section 37?,"When reasonably demanded to assist in taking or preventing escape of a person to be arrested, preventing breach of peace, or preventing injury to public property."
Who may aid a person other than a police officer executing a warrant under Section 38?,Any person near at hand acting in execution of the warrant may aid.
What offences must every person report under Section 39?,"Offences against the State, public tranquility, illegal gratification, adulteration of food and drugs, affecting life, kidnapping for ransom, robbery and dacoity, criminal breach of trust by public servants, and other serious offences listed in Section 39."
What duties do officers employed in connection with village affairs have under Section 40?,They must report certain matters to the Magistrate as prescribed by the Code.
What does Section 41 provide about police arrest without warrant?,Police may arrest without warrant when a person commits a cognizable offence in their presence or is suspected to have committed such an offence.
What does Section 41A describe?,Notice of appearance before a police officer.
What are the duties of an officer making an arrest under Section 41B?,They must follow proper procedure including informing the person of grounds for arrest.
What is the purpose of Section 41C?,Establishment of control rooms at district level for monitoring arrests.
What right is guaranteed to arrested persons under Section 41D?,The right to meet an advocate of their choice during interrogation.
What sentence can a Magistrate of the second class pass?,"Imprisonment up to one year, or fine not exceeding five thousand rupees, or both."
What sentence can a Chief Metropolitan Magistrate pass?,The same powers as a Chief Judicial Magistrate.
What is Section 30 about?,Sentence of imprisonment in default of fine.
What is the limitation on imprisonment in default of fine?,It must not exceed the Magistrate's powers under Section 29 and should not exceed one-fourth of the substantive sentence.
Can imprisonment in default be additional to substantive sentence?,"Yes, it may be in addition to the maximum substantive sentence under Section 29."
What does Section 31 relate to?,Sentence for conviction of several offences at one trial.
Can punishments for multiple offences run consecutively?,"Yes, unless the Court directs them to run concurrently."
What is the upper limit for consecutive sentencing under Section 31?,It must not exceed fourteen years or twice the maximum for a single offence.
How is an aggregate sentence treated for appeals under Section 31?,It is deemed to be a single sentence.
What does Section 32 deal with?,Mode of conferring powers under the Code.
What is stated in Section 33?,Powers of officers when appointed to an equal or higher office in similar jurisdiction.
What is mentioned in Section 34?,Withdrawal of powers conferred under the Code.
What is the subject of Section 35?,Successors in office can exercise the powers of predecessors.
What is Section 36 about?,Powers of superior officers of police.
When must the public assist Magistrates or police officers under Section 37?,"When reasonably called upon to prevent escape, suppress breach of peace, or protect public property."
What does Section 38 allow?,Any person may aid someone executing a warrant if the person is near and acting on the warrant.
What offences must be reported under Section 39?,"Offences against the State, public tranquility, illegal gratification, adulteration, life-threatening crimes, robbery, dacoity, currency and property-related offences."
What offences must be reported under Section 39 continued?,"Theft with violence, robbery and dacoity, breach of trust by public servants, mischief, trespass, and currency note offences."
What is the public's obligation if aware of these offences?,To report them immediately to the nearest Magistrate or police officer.
What does Section 40 require of village officers and residents?,"They must report specific crimes, suspicious deaths, disappearances, or other dangers to public order."
What kind of individuals must be reported under Section 40?,"Notorious receivers of stolen goods, thugs, robbers, convicts, or proclaimed offenders."
What else must be reported under Section 40?,"Non-bailable offences, suspicious deaths, criminal activities near or outside the village, or matters affecting order or safety"
Under what circumstances can a police officer arrest without a warrant as per Section 41?,A police officer may arrest without warrant if a cognizable offence is committed in his presence or if there is credible information or reasonable suspicion of such offence.
What conditions must be satisfied for arrest under Section 41(1)(b)?,"The officer must believe the person committed the offence, and arrest is necessary to prevent further crime, ensure investigation, avoid evidence tampering, prevent inducement, or ensure court presence."
What must a police officer record while making an arrest under Section 41?,The reasons for making or not making the arrest must be recorded in writing.
Can a police officer arrest a person found in possession of suspected stolen property?,"Yes, under Section 41(1)(d), if reasonable suspicion exists."
What does Section 41(1)(h) deal with?,It allows arrest of a released convict who breaches rules made under Section 356(5).
What does Section 41A require before arrest in certain cases?,The police must issue a notice to appear if arrest is not necessary.
What happens if a person complies with a Section 41A notice?,They should not be arrested unless the police officer records reasons for doing so.
What are the arrest procedures under Section 41B?,"Officer must display identification, prepare a signed arrest memo with a witness, and inform the arrested personâs relative or friend."
What is established under Section 41C?,Control rooms at district and state levels to maintain arrest data.
What right is given under Section 41D?,The arrested person has the right to meet an advocate during interrogation.
What does Section 42 address?,Arrest on refusal to give name and residence in non-cognizable cases.
What must happen if name and residence are confirmed under Section 42?,The person should be released on bond to appear before a Magistrate if required.
What is described in Section 43?,"A private person may arrest someone committing a non-bailable, cognizable offence or a proclaimed offender."
What does Section 44 empower a Magistrate to do?,Arrest or order arrest of an offender in his presence.
What protection does Section 45 offer Armed Forces members?,They cannot be arrested for acts done in official duties without Central Government consent.
How must an arrest be made as per Section 46?,"By touching or confining the body unless submission occurs; special conditions apply for arresting women.


Page 43"
What restriction is placed on arresting women at night under Section 46?,"No woman can be arrested after sunset and before sunrise except in exceptional circumstances, and even then only with prior written permission from a Judicial Magistrate."
What must a police officer do before breaking into a place to arrest someone under Section 47?,"The officer must notify their authority and purpose, demand admittance, and only break in if admittance cannot be obtained otherwise."
What special provision exists for searching female apartments under Section 47?,"Before entering an apartment occupied by a female who doesn't appear in public, the officer must give notice allowing her to withdraw and provide reasonable facilities for her to do so."
What powers does Section 48 give police officers regarding pursuing offenders?,A police officer may pursue any person they are authorized to arrest into any place in India.
What does Section 49 say about restraint during arrest?,The person arrested shall not be subjected to more restraint than is necessary to prevent escape.
What information must be given to an arrested person under Section 50?,"Full particulars of the offence and grounds for arrest must be communicated, and for bailable offences, the right to bail must be informed."
What must be done regarding an arrested person's family under Section 50A?,The arresting officer must inform a relative/friend of the arrest and make an entry of who was informed in the police station register.
What does Section 51 authorize regarding search of arrested persons?,"It authorizes search of the person and taking custody of all articles except necessary wearing apparel, with a receipt to be given."
What special provision exists for searching women under Section 51(2)?,The search must be conducted by a female officer with strict regard to decency.
What powers does Section 52 give regarding seizure of weapons?,The arresting officer may seize any offensive weapons found on the arrested person and deliver them to court.
What does Section 53 authorize regarding medical examination of accused?,A registered medical practitioner may examine an accused person when there are reasonable grounds to believe it will provide evidence of the offence.
What special provision exists for examining female accused under Section 53?,The examination must be conducted by or under supervision of a female registered medical practitioner.
Who may endorse a warrant for execution outside jurisdiction as per Section 78(1)?,An Executive Magistrate or a police officer not below the rank of officer in charge of a police station.
What does an endorsement on a warrant by a Magistrate or police officer allow?,It authorizes the police officer to whom the warrant is directed to execute it.
When can a police officer execute a warrant without endorsement outside jurisdiction?,When delay in obtaining endorsement may prevent execution.
What is Section 80 about?,Procedure on arrest of a person against whom a warrant was issued outside the issuing district.
To whom should the arrested person be taken under Section 80?,"To the Executive Magistrate, District Superintendent of Police, or Commissioner of Police within whose jurisdiction the arrest was made."
What does Section 81(1) empower the Magistrate or police officer to do after arrest?,Direct the removal of the arrested person to the Court that issued the warrant.
Can bail be granted under Section 81(1)?,"Yes, if the offence is bailable or if direction under Section 71 is endorsed on the warrant."
Who can grant bail for non-bailable offences under Section 81?,The Chief Judicial Magistrate or Sessions Judge of the district where arrest is made.
What does Section 82(1) provide for?,Proclamation for a person absconding after a warrant has been issued.
How must the proclamation be published under Section 82(2)?,"By public reading in the town/village, affixing on the personâs house and court-house, and optionally in a newspaper."
What serves as conclusive evidence of proclamation publication under Section 82(3)?,A written statement by the issuing Court confirming the proclamation was published as required.
What does Section 83 of the CrPC deal with?,Attachment of property of a person absconding.
What condition must be satisfied for attachment under Section 83?,The Court must believe the person is disposing of or removing property to evade the law.
What kinds of property can be attached under Section 83?,"Movable or immovable property, or both."
When can attachment be ordered under Section 83?,At any time after the proclamation is issued under Section 82.
Can attachment be made simultaneously with the issue of proclamation?,"Yes, if the Court is satisfied that the conditions are met."
Who must endorse the attachment if it is outside the district?,The District Magistrate within whose district the property is located.
What are the modes of attaching movable property under Section 83(3)?,"(a) Seizure, (b) appointment of a receiver, (c) written order prohibiting delivery, or (d) any two or more as the Court sees fit."
How can immovable property be attached under Section 83(4)?,"(a) Taking possession, (b) appointment of a receiver, (c) order prohibiting rent delivery, or (d) combination of any methods."
What can the Court do if the attached property is livestock or perishable?,It may order immediate sale and hold the sale proceeds.
What governs the duties of a receiver appointed under this section?,"The Code of Civil Procedure, 1908."
What does Section 84 of the CrPC relate to?,Claims and objections to attachment.
Who can raise a claim or objection under Section 84(1)?,"Any person other than the proclaimed person, who claims an interest in the attached property."
What is the time limit to make a claim under Section 84(1)?,Within six months from the date of attachment.
Can a legal representative continue a claim after claimant's death?,"Yes, if the claim was made within time."
Where must a claim under Section 84 be made?,In the Court that issued the order of attachment or the Court of Chief Judicial Magistrate.
What happens if a claim is made to the Chief Judicial Magistrate?,He may transfer it to a subordinate Magistrate for disposal.
What can a person do if their claim is disallowed under Section 84(4)?,Institute a suit in Civil Court within one year from the date of the order.
What does Section 85 of the CrPC cover?,"Release, sale, and restoration of attached property."
When will the Court release the property under Section 85(1)?,If the proclaimed person appears within the time specified in the proclamation.
What happens to the property if the proclaimed person does not appear?,It goes to the State Government but cannot be sold for 6 months unless necessary.
What happens if the proclaimed person appears within two years?,Property or sale proceeds (after cost deduction) are restored to him if he proves he didnât abscond.
What does Section 86 provide for?,Appeal from order rejecting application for restoration of attached property.
Who can file an appeal under Section 86?,Any person aggrieved by refusal to deliver property or sale proceeds under Section 85(3).
What is Chapter D of the CrPC titled?,Other rules regarding processes.
What does Section 87 of the CrPC deal with?,"Issue of warrant in lieu of, or in addition to, summons."
When can the Court issue a warrant instead of a summons?,If it believes the person has absconded or will not obey the summons.
What must the Court do before issuing a warrant under Section 87?,Record its reasons in writing.
What does Section 88 empower the Court to do?,Take bond for appearance.
When can a bond be taken under Section 88?,When a person is present in Court whose appearance is required.
Can the bond under Section 88 include sureties?,Yes.
Is it necessary for a summons or warrant to be issued before taking bond under Section 88?,No.
What happens if a person bound by bond does not appear?,The Court may issue a warrant for arrest.
What does Section 90 make applicable to summons and warrants?,"Provisions related to issue, service, and execution."
What does Section 91 relate to?,Summons to produce documents or things.
Who can issue a summons under Section 91?,Any Court or officer in charge of a police station.
For what purpose can a summons be issued under Section 91?,"For inquiry, investigation, trial, or other proceedings."
Who can be summoned under Section 91?,Any person in possession of the document or thing.
What must the summoned person do?,Produce the item at the time and place mentioned.
Can Section 91 compel personal appearance?,"No, unless required for production."
Does Section 91 apply to postal documents?,No.
What does Section 92 deal with?,Postal and telegraph articles.
Who can require delivery of such articles?,"Magistrate, Court of Session, or High Court."
Who can execute the search for postal articles under Section 92?,Magistrate or police authority.
What does Section 93 empower the Court to issue?,Search-warrant.
When can a search-warrant be issued under Section 93(1)(a)?,When a person fails to produce a document or thing after summons.
When else may a search-warrant be issued under Section 93(1)(b)?,When the item is not known to be with any person.
Can the Court order general searches?,"Yes, if it serves inquiry, trial, or proceedings."
Can the Court limit a search-warrant to a specific place?,Yes.
Under what circumstances can a search-warrant be issued according to Section 93 of the Code?,"A search-warrant may be issued if a person might not produce a document or thing as required, if the document is not known to be in any person's possession, or if a general search or inspection is necessary for an inquiry, trial, or proceeding."
